Sex,Class,Dollar,Dining dollars exhaustated,"regreesion, t test, anova., cateogory to check yes or no( propotion tesr) (explan: box plot, two table),"
M,SO2,1.04,No,
M,SO2,0.77,No,
M,SO2,1.93,No,
M,SO2,0.14,No,
M,SO2,4.46,No,
M,SO2,2.05,No,
M,SO2,3.7,No,
M,SO2,22.26,No,
M,SO2,0.45,No,
M,SO2,3.13,No,
M,SO2,33.71,No,
M,SO2,9.27,No,
M,SO2,0,Yes,
M,SO2,19.92,No,
M,SO2,1.93,No,
M,SO2,1,No,
M,SO2,48.2,No,
M,SO2,0.91,No,
M,SO2,0.9,No,
M,SO2,34.11,No,
M,SO2,3.03,No,
M,SO2,0.25,No,
M,SO2,4.9,No,
M,SO2,300,No,
M,SO2,3.06,No,
M,SO2,1.9,No,
M,SO2,0.92,No,
M,SO2,0.32,No,
M,SO2,2.94,No,
M,SO2,5.54,No,
F,SR1,3.92,No,
F,SR2,0.07,No,
F,SR2,7.08,No,
F,SR2,0.35,No,
F,SR2,2.68,No,
F,SR2,0.55,No,
F,SR2,0,Yes,
F,SR2,0.03,No,
F,SR2,2.58,No,
F,SR2,13.02,No,
F,SR2,0,Yes,
F,SR2,1.32,No,
F,SR2,1.02,No,
F,SR2,0,Yes,
F,SR2,2.81,No,
F,SR2,14.08,No,
F,SR2,0.69,No,
F,SR2,1.88,No,
M,SR2,1.88,No,
M,SR2,3.84,No,
M,SR2,19.72,No,
M,SR2,0.57,No,
M,SR2,1.47,No,
M,SR2,0,Yes,
M,SR2,1.52,No,
M,SR2,300,No,
M,SR2,2.86,No,
M,SR2,1.53,No,
M,SR2,2.65,No,
M,SR2,0.78,No,
M,SR2,0.82,No,
M,SR2,14.01,No,
M,SR2,13.71,No,
M,SR2,4.36,No,
M,SR2,118.08,No,
M,SR2,1.57,No,
F,FR2,0,Yes,
F,FR2,0,Yes,
F,FR2,0,Yes,
F,FR2,0,Yes,
F,FR2,0,Yes,
M,FR2,0,Yes,
M,FR2,0,Yes,
F,GR,8.07,No,
F,GR,1.58,No,
M,GR,0.84,No,
M,GR,0.57,No,
M,GR,0.27,No,
F,JR1,1.55,No,
F,JR2,0.44,No,
F,JR2,0.62,No,
F,JR2,1.39,No,
F,JR2,2.38,No,
F,JR2,4.38,No,
F,JR2,0.29,No,
F,JR2,2.49,No,
F,JR2,11.4,No,
F,JR2,7.34,No,
F,JR2,0.77,No,
F,JR2,0.67,No,
F,JR2,2.18,No,
F,JR2,0,Yes,
F,JR2,0.29,No,
F,JR2,0.29,No,
F,JR2,0,Yes,
F,JR2,1.48,No,
F,JR2,2.1,No,
F,JR2,0.84,No,
F,JR2,1.32,No,
F,JR2,2.02,No,
F,JR2,1.4,No,
F,JR2,3.59,No,
F,JR2,0,Yes,
F,JR2,2.56,No,
F,JR2,0,Yes,
F,JR2,0,Yes,
F,JR2,0.38,No,
F,JR2,2.31,No,
F,JR2,6.44,No,
F,JR2,8.6,No,
F,JR2,0,Yes,
F,JR2,0,Yes,
F,JR2,1.57,No,
F,JR2,2.95,No,
F,JR2,4.03,No,
F,JR2,1.81,No,
F,JR2,0,Yes,
F,JR2,14.66,No,
F,JR2,1.6,No,
F,JR2,2.02,No,
F,JR2,5.89,No,
F,JR2,0.36,No,
F,JR2,19.98,No,
M,JR2,2.94,No,
M,JR2,1.05,No,
M,JR2,3.59,No,
M,JR2,15.22,No,
M,JR2,22.53,No,
M,JR2,17.41,No,
M,JR2,2.26,No,
M,JR2,0.23,No,
M,JR2,2.42,No,
M,JR2,3.54,No,
M,JR2,0.5,No,
M,JR2,7.99,No,
M,JR2,3.07,No,
M,JR2,3.26,No,
M,JR2,0.7,No,
M,JR2,0.59,No,
M,JR2,2.01,No,
M,JR2,127.31,No,
M,JR2,3.59,No,
M,JR2,5.62,No,
M,JR2,0.91,No,
M,JR2,94.77,No,
M,JR2,5.31,No,
M,JR2,0,Yes,
M,JR2,285.28,No,
M,JR2,4.75,No,
M,JR2,1.8,No,
M,JR2,0.2,No,
M,JR2,14.59,No,
M,SO1,7.72,No,
M,SO2,0.59,No,
M,SO2,2.88,No,
F,SO2,10.88,No,
F,SO2,0.19,No,
F,SO2,0.39,No,
F,SO2,0.21,No,
F,SO2,1.17,No,
F,SO2,8.77,No,
F,SO2,17.03,No,
F,SO2,2,No,
F,SO2,5.4,No,
F,SO2,0,Yes,
F,SO2,0.81,No,
F,SO2,2.5,No,
F,SO2,0.11,No,
F,SO2,0.89,No,
